Term,Derived From (Genealogy),Related Terms (Concept Constellation)
Coevolutionary Development (Nigeria as Demonstration),"AIM; Adaptive Political Economy; Coevolutionary Development; Normatively Weak Functionally Strong","Coevolutionary Development (China as Demonstration); Normatively Weak Functionally Strong; Market-Building vs. Market-Preserving; Using What You Have"
Coevolutionary Development (United States as Demonstration),"AIM; Adaptive Political Economy; Coevolutionary Development; Adaptive Fiscal Capacity; Fairy Tales of Western Development","Coevolutionary Development; Coevolutionary Development (China as Demonstration); Normatively Weak Functionally Strong; Market-Building vs. Market-Preserving; Adaptive Fiscal Capacity; Fairy Tales of Western Development"
Complex,"AIM; Adaptive Political Economy; Industrial-Colonial Paradigm (contrast); Complicated (contrast)","Adaptive Political Economy; AIM; Complex vs. Complicated; Influence vs. Control; Uncertainty vs. Risk; Meta-Institutions; Institutions"
Complex vs. Complicated,"AIM; Adaptive Political Economy; Industrial-Colonial Paradigm (contrast); Mechanical Thinking (contrast)","Paradigm; Adaptive Political Economy; Mechanical Thinking; Influence vs. Control; Uncertainty vs. Risk; Chicken-and-Egg Fallacy of Development; Meta-Institutions; Directed Improvisation; Coevolutionary Development; Mapping Coevolution"
Complexity & Development,"AIM; Adaptive Political Economy; Enabling Adaptation; Mechanical Thinking (contrast)","Enabling Adaptation; Meta-Institutions; Variation Selection & Niche Creation; Directed Improvisation; Coevolutionary Development; Adaptive Policy Communication"
Complicated,"Industrial-Colonial Paradigm; Mechanical Thinking; Complex (contrast)","Complex; Mechanical Thinking; Chicken-and-Egg Fallacy of Development"
Directed Improvisation,"AIM; Adaptive Political Economy; Complex vs. Complicated; Uncertainty vs. Risk; Influence vs. Control","Adaptive Political Economy; Complex vs. Complicated; Influence vs. Control; Uncertainty vs. Risk; Meta-Institutions; Enabling Adaptation; Coevolutionary Development; Adaptive Efficiency; Gradual Institutional Change"
Directed Improvisation (China as Demonstration),"AIM; Adaptive Political Economy; Influence vs. Control; Directed Improvisation","Influence vs. Control; Directed Improvisation; Coevolutionary Development (China as Demonstration); Market-Building vs. Market-Preserving"
Directed Improvisation (United States as Demonstration),"AIM; Adaptive Political Economy; Influence vs. Control; Directed Improvisation; Moral Pillar","Directed Improvisation; Coevolutionary Development (United States as Demonstration)"
Directed Improvisation with AI,"Adaptive Political Economy; Complex vs. Complicated; Influence vs. Control; Directed Improvisation; Mechanical Thinking (contrast)","Paradigm; AIM; Directed Improvisation; Complex vs. Complicated; Influence vs. Control; Expert-Directed LLM Annotation"
Enabling Adaptation,"AIM; Adaptive Political Economy; Variation Selection & Niche Creation; Directed Improvisation","Adaptive Political Economy; Meta-Institutions; Directed Improvisation; Variation Selection & Niche Creation; Complexity & Development; Function of Policy Ambiguity"
Expert-Directed LLM Annotation,"Directed Improvisation with AI; Adaptive Policy Communication; Function of Policy Ambiguity","Adaptive Political Economy; Adaptive Policy Communication; Function of Policy Ambiguity; Directed Improvisation with AI"
Fairy Tales of Western Development,"AIM; Moral Pillar; Normatively Weak Functionally Strong; Adaptive Fiscal Capacity","Industrial-Colonial Paradigm; Western-Centric Thinking; AIM; Normatively Weak Functionally Strong; Adaptive Fiscal Capacity; Coevolutionary Development (United States as Demonstration)"
Function of Policy Ambiguity,"Adaptive Policy Communication; Meta-Institutions; Directed Improvisation","Adaptive Policy Communication; Meta-Institutions; Directed Improvisation; Expert-Directed LLM Annotation"
Gradual Institutional Change,"Adapt vs. Change; Coevolutionary Development; Variation Selection & Niche Creation; Meta-Institutions","Adapt vs. Change; Mapping Coevolution; Variation Selection & Niche Creation; Coevolutionary Development; Meta-Institutions"
Industrial Policy Under Uncertainty,"AIM; Adaptive Political Economy; Complex vs. Complicated; Uncertainty vs. Risk; Influence vs. Control; Directed Improvisation","Adaptive Political Economy; Uncertainty vs. Risk; Influence vs. Control; Directed Improvisation; Meta-Institutions; Enabling Adaptation; Adaptive Policy Communication"
Industrial-Colonial Paradigm,"Mechanical Thinking; Western-Centric Thinking; AIM (contrast); Polycrisis","Polycrisis; Polytunity; Mechanical Thinking; Western-Centric Thinking; AIM"
Influence vs. Control,"AIM; Adaptive Political Economy; Complex vs. Complicated; Directed Improvisation","Adaptive Political Economy; Complex vs. Complicated; Uncertainty vs. Risk; Directed Improvisation"
Mapping Coevolution,"AIM; Adaptive Political Economy; Coevolutionary Development","Adaptive Political Economy; Chicken-and-Egg Fallacy of Development; Coevolutionary Development"
Margins of the Establishment,"AIM; Moral Pillar; Polytunity","Polytunity; AIM; Fairy Tales of Western Development"
Market-Building vs. Market-Preserving,"AIM; Adaptive Political Economy; Coevolutionary Development; Stage-Variant Institutions","Chicken-and-Egg Fallacy of Development; Mapping Coevolution; Coevolutionary Development (China as Demonstration); Stage-Variant Institutions; Normatively Weak Functionally Strong; Fairy Tales of Western Development; Using What You Have"
Mechanical Thinking,"Industrial-Colonial Paradigm; AIM (contrast)","Industrial-Colonial Paradigm; Western-Centric Thinking; AIM; Adaptive Political Economy"
Meta-Institutions,"AIM; Adaptive Political Economy; Complex vs. Complicated; Influence vs. Control; Directed Improvisation","Adaptive Political Economy; Influence vs. Control; Directed Improvisation; Coevolutionary Development; Variation Selection & Niche Creation; Adaptive Policy Communication"
Normatively Weak Functionally Strong,"AIM; Adaptive Pillar; Inclusive Pillar; Moral Pillar; Coevolutionary Development","Coevolutionary Development; Stage-Variant Institutions; Market-Building vs. Market-Preserving; Fairy Tales of Western Development; Autocracy with Democratic Characteristics; Using What You Have"
Paradigm,"Industrial-Colonial Paradigm (contrast); AIM","Polytunity; AIM; Complex vs. Complicated; Fairy Tales of Western Development"
Peak China,"Mechanical Thinking; Western-Centric Thinking; AIM (contrast)","Western-Centric Thinking; China's Economic Paradox; AIM"
Polycrisis,"Industrial-Colonial Paradigm; Western-Centric Thinking; Polytunity (contrast)","Polytunity; AIM; Industrial-Colonial Paradigm; Western-Centric Thinking"
Polytunity,"Polycrisis (contrast); AIM; Margins of the Establishment","Polycrisis; AIM; World Order After 2025; Margins of the Establishment"
Speed Money,"Unbundling Corruption; Access Money (contrast)","Coevolutionary Development; Unbundling Corruption; Access Money; Steroids of Capitalism"
Stage-Variant Institutions,"AIM; Adaptive Pillar; Inclusive Pillar; Coevolutionary Development; Market-Building vs. Market-Preserving","Western-Centric Thinking; Adapt vs. Change; Coevolutionary Development; Market-Building vs. Market-Preserving; Normatively Weak Functionally Strong; Fairy Tales of Western Development; Gradual Institutional Change"
Steroids of Capitalism,"AIM; Unbundling Corruption; Access Money; Industrial-Colonial Paradigm (contrast)","Mechanical Thinking; Access Money; Unbundling Corruption"
Unbundled Corruption Index (UCI),"AIM; Unbundling Corruption; Industrial-Colonial Paradigm (contrast); Western-Centric Thinking (contrast)","Fairy Tales of Western Development; Western-Centric Thinking; Unbundling Corruption; Access Money"
Unbundling Corruption,"AIM; Adaptive Pillar; Inclusive Pillar; Moral Pillar; Industrial-Colonial Paradigm (contrast)","Western-Centric Thinking; Fairy Tales of Western Development; Access Money; Steroids of Capitalism; Unbundled Corruption Index (UCI)"
Uncertainty vs. Risk,"AIM; Adaptive Political Economy; Complex vs. Complicated; Directed Improvisation","Adaptive Political Economy; Complex vs. Complicated; Influence vs. Control; Directed Improvisation; Industrial Policy Under Uncertainty"
Using What You Have,"AIM; Adaptive Pillar; Inclusive Pillar; Moral Pillar; Coevolutionary Development; Normatively Weak Functionally Strong; Market-Building vs. Market-Preserving","AIM; Coevolutionary Development; Market-Building vs. Market-Preserving; Normatively Weak Functionally Strong; Western-Centric Thinking; Chicken-and-Egg Fallacy of Development"
Variation Selection & Niche Creation,"Gradual Institutional Change (contrast); Complexity & Development; Enabling Adaptation","Adaptive Political Economy; Adapt vs. Change; Coevolutionary Development; Meta-Institutions; Enabling Adaptation; Directed Improvisation; Gradual Institutional Change"
Western-Centric Thinking,"Industrial-Colonial Paradigm; AIM (contrast)","Polycrisis; Industrial-Colonial Paradigm; Mechanical Thinking; Polytunity; AIM; Fairy Tales of Western Development; Normatively Weak Functionally Strong; Market-Building vs. Market-Preserving"
World Order After 2025,"Polytunity; AIM","Polytunity; AIM"
